R	G	B	
69	117	181	
69	117	181	
71	118	181	
72	119	181	
74	121	181	
74	121	181	
76	122	181	
78	123	181	
80	124	181	
81	125	181	
83	126	181	
84	127	184	
86	128	184	
88	129	184	
90	131	184	
92	132	184	
92	132	184	
94	133	184	
95	134	184	
97	135	184	
99	136	184	
99	136	184	
101	137	184	
103	138	184	
105	139	184	
105	139	184	
106	140	184	
108	141	184	
110	142	184	
110	143	184	
112	144	184	
115	147	186	
117	148	186	
117	148	186	
119	149	186	
121	150	186	
123	152	186	
123	152	186	
125	153	186	
127	154	186	
128	155	186	
128	155	186	
130	157	186	
132	158	186	
132	158	186	
134	160	186	
136	161	186	
138	162	186	
138	163	186	
140	164	186	
141	165	186	
143	166	186	
143	166	186	
145	168	186	
147	169	186	
151	172	189	
151	173	189	
153	174	189	
155	175	189	
155	176	189	
157	177	189	
159	178	189	
160	179	189	
160	180	189	
162	181	189	
164	182	189	
164	183	189	
166	184	189	
168	185	189	
170	186	189	
170	187	189	
172	188	189	
174	189	188	
176	191	190	
176	191	189	
178	194	190	
178	194	189	
180	194	188	
183	196	190	
183	196	188	
185	199	190	
185	199	188	
189	201	191	
189	201	190	
191	204	190	
192	204	190	
194	207	190	
196	207	190	
196	207	190	
198	209	190	
199	209	190	
202	212	190	
202	212	190	
205	214	191	
206	214	191	
208	217	191	
209	217	191	
211	219	191	
212	219	191	
212	219	189	
215	222	191	
215	222	189	
218	224	191	
218	224	191	
221	227	191	
221	227	191	
224	230	190	
224	230	190	
226	232	190	
227	232	190	
230	235	192	
230	235	190	
233	237	192	
233	237	190	
237	240	192	
237	240	192	
240	242	191	
240	242	191	
242	245	191	
243	245	191	
246	247	193	
245	247	190	
249	250	192	
249	250	190	
251	252	192	
251	252	192	
255	255	191	
255	255	191	
255	255	191	
255	253	189	
255	252	189	
255	249	186	
255	248	186	
255	247	184	
255	244	181	
255	243	181	
255	241	179	
255	240	179	
255	238	176	
255	237	176	
255	235	173	
255	233	171	
255	231	171	
255	229	168	
255	228	168	
255	225	166	
255	225	166	
255	223	163	
255	220	161	
255	219	161	
255	218	158	
252	214	157	
252	211	154	
252	211	154	
252	209	151	
252	209	151	
252	206	149	
252	204	149	
252	203	146	
252	201	146	
252	200	144	
252	198	144	
252	197	141	
252	195	141	
252	194	139	
252	194	139	
250	189	135	
250	189	135	
250	185	132	
250	185	132	
250	182	130	
250	182	130	
250	181	127	
250	178	127	
250	177	125	
250	177	125	
250	173	122	
247	172	121	
247	168	119	
247	168	119	
247	168	119	
247	164	116	
247	164	116	
247	163	114	
247	163	114	
247	159	111	
245	157	110	
245	156	108	
245	153	108	
245	152	105	
245	152	105	
245	149	105	
245	148	103	
242	146	102	
242	145	99	
242	142	99	
242	141	97	
242	141	97	
242	141	97	
242	136	94	
240	135	93	
240	133	91	
240	133	91	
240	129	89	
240	129	89	
240	129	89	
240	127	86	
237	123	85	
237	122	83	
237	122	83	
237	120	81	
237	117	81	
237	117	81	
235	114	77	
235	114	77	
235	110	75	
235	110	75	
235	110	75	
235	108	73	
232	104	72	
232	102	70	
232	102	70	
232	102	70	
232	97	67	
230	96	67	
230	96	67	
230	95	64	
230	95	64	
230	90	62	
227	89	61	
227	89	61	
227	87	59	
227	84	59	
227	84	59	
224	81	56	
224	81	56	
224	77	54	
224	77	54	
224	77	54	
222	74	51	
222	71	51	
222	71	51	
222	69	49	
219	65	48	
219	63	46	
219	63	46	
219	63	46	
219	58	44	
217	58	43	
217	58	43	
217	53	41	
217	53	41	
214	52	41	
214	47	39	
214	47	39	
